,Tên nhà máy,Công suất PLM (MW),Sản lượng (triệu KWh /năm),Khởi công,Hoạt động,Tọa độ,Vị trí xã huyện,Tỉnh
41,KN Cam Lâm,45.0,79.0,4/2018,7/2019,"11°59′34″B 109°04′58″Đ﻿ / ﻿11,9928°B 109,0828°Đ",xã Cam An Bắc huyện Cam Lâm,Khánh Hòa [19]
42,Long Sơn,170.0,,2019,12/2019,"12°36′57″B 109°06′15″Đ﻿ / ﻿12,61588°B 109,10429°Đ",xã Ninh Sơn thị xã Ninh Hòa,Khánh Hòa
43,Sông Giang,50.0,80.0,6/2018,5/2019,"11°52′46″B 109°04′39″Đ﻿ / ﻿11,8794°B 109,0775°Đ","xã Cam Thịnh Đông và Cam Thịnh Tây, Tp.Cam Ranh",Khánh Hòa [20]
44,Trung Sơn,35.0,,7/2020,12/2020,"12°00′38″B 109°06′17″Đ﻿ / ﻿12,0106°B 109,10473°Đ",xã Cam An Bắc huyện Cam Lâm,Khánh Hòa
45,Tuấn Ân,9.6,,2/2019,12/2020,"11°52′45″B 109°05′11″Đ﻿ / ﻿11,87907°B 109,08648°Đ","xã Vạn Hưng, huyện Vạn Ninh",Khánh Hòa
46,Cư Jút,50.0,947.0,9/2017,4/2019,"12°35′48″B 107°52′22″Đ﻿ / ﻿12,59676°B 107,87268°Đ",thị trấn Ea T'Ling huyện Cư Jút,Đăk Nông [21]
47,Trúc Sơn,36.5,80.0,2/2019,6/2019,"12°34′30″B 107°51′38″Đ﻿ / ﻿12,57496°B 107,86053°Đ",xã Trúc Sơn huyện Cư Jút,Đăk Nông
48,Bàu Ngứ,50.0,100.0,1/2017,7/2019,"11°28′13″B 108°57′48″Đ﻿ / ﻿11,47036°B 108,96323°Đ",xã Phước Dinh huyện Thuận Nam,Ninh Thuận
49,Bàu Zôn,25.0,,2019,2020,"11°31′34″B 108°52′06″Đ﻿ / ﻿11,52625°B 108,86833°Đ",xã Phước Hữu huyện Ninh Phước,Ninh Thuận
50,"BIM 1,2,3 Ninh Thuận",330.0,545.0,1/2018,4/2019,"11°24′36″B 108°52′36″Đ﻿ / ﻿11,41005°B 108,87676°Đ",xã Phước Minh huyện Thuận Nam,Ninh Thuận [22]
